Region Name,City,State,Metro,County Name,Month,Value
South Tacoma,Tacoma,WA,Seattle,Pierce,04/01/2010 12:00:00 AM,
South Tacoma,Tacoma,WA,Seattle,Pierce,05/01/2010 12:00:00 AM,
South Tacoma,Tacoma,WA,Seattle,Pierce,06/01/2010 12:00:00 AM,
South Tacoma,Tacoma,WA,Seattle,Pierce,07/01/2010 12:00:00 AM,
South Tacoma,Tacoma,WA,Seattle,Pierce,08/01/2010 12:00:00 AM,
South Tacoma,Tacoma,WA,Seattle,Pierce,09/01/2010 12:00:00 AM,0.851162790697674
South Tacoma,Tacoma,WA,Seattle,Pierce,10/01/2010 12:00:00 AM,0.8125
South Tacoma,Tacoma,WA,Seattle,Pierce,11/01/2010 12:00:00 AM,0.8125
South Tacoma,Tacoma,WA,Seattle,Pierce,12/01/2010 12:00:00 AM,0.921875
South Tacoma,Tacoma,WA,Seattle,Pierce,01/01/2011 12:00:00 AM,0.904545454545454
South Tacoma,Tacoma,WA,Seattle,Pierce,02/01/2011 12:00:00 AM,0.882899628252788
